bor-meld-label,bor-meld-uri,mapping,imbor-uri,imbor-property,imbor-domeinwaarde,
Opslagbak,https://data.crow.nl/bor-meld/def/9e898fc6-910e-496b-b109-61958c28b389,owl:equivalentClass,https://data.crow.nl/imbor/def/ed34a383-e289-429c-a26f-49ea89411026,,,
OV-baan,https://data.crow.nl/bor-meld/def/e25ec5ea-726e-4c70-a205-d71f91531428,owl:equivalentClassWith Constraint,https://data.crow.nl/imbor/def/48f6fa03-08be-4db7-bc2f-a0d6e3b68f14,https://data.crow.nl/imbor/def/e3e112b3-e46f-45c4-b2c9-b152e6f805a1,https://data.crow.nl/imbor/id/domeinwaarden/3039870c-6a91-40ce-b7d9-550802795681,
Overbrugging,https://data.crow.nl/bor-meld/def/afa005a0-53ad-4944-9ff3-33cdf362cf2d,owl:equivalentClass,https://data.crow.nl/imbor/def/990a55c9-8181-47ed-b1c3-e01446792adc,,,
Overige openbare ruimte objecten,https://data.crow.nl/bor-meld/def/4fa0c816-cd4e-4c59-8832-bf61c470fe38,nvt,,,,
Parkeerautomaat,https://data.crow.nl/bor-meld/def/744d4573-bb3a-4697-a38d-692b6be2f2ad,owl:equivalentClass,https://data.crow.nl/imbor/def/e7609ae3-4f73-46ea-8060-1f0f47c2c3ff,,,
Parkeervak,https://data.crow.nl/bor-meld/def/ba9e45e6-f38d-45d7-b93e-8be827283207,owl:equivalentClass,https://data.crow.nl/imbor/def/e52b26cc-4489-42ae-be39-a14afbed1c21,,,
Perceelaansluitleiding,https://data.crow.nl/bor-meld/def/2f040362-5d79-4ed9-9a5c-60396a0c944e,owl:equivalentClass,http://data.gwsw.nl/1.6/totaal/Perceelaansluiting,,,
Persleiding,https://data.crow.nl/bor-meld/def/2756e7b6-9efa-4498-bd33-e3407bc9a135,owl:equivalentClass,http://data.gwsw.nl/1.6/totaal/Persleiding,,,
Planten,https://data.crow.nl/bor-meld/def/3106a799-9884-42c5-9d31-384f19c6fff6,owl:equivalentClass,https://data.crow.nl/imbor/def/40d30de7-5f7e-4a16-8f2e-85f305be18fb,,,
Plantenbak,https://data.crow.nl/bor-meld/def/df08bdcd-f325-4bac-a7b4-4b8e4ccaede2,owl:equivalentClass,https://data.crow.nl/imbor/def/ff65feb0-5166-4ed7-a353-54b4199be96f,,,
Poller,https://data.crow.nl/bor-meld/def/89a6cbfb-d8b2-4ba4-bc47-e35b60325220,owl:equivalentClass,https://data.crow.nl/imbor/def/eacea88d-dcb5-4b9e-bf5d-c5a0beee3fee,,,
Reclamebord,https://data.crow.nl/bor-meld/def/ce213baa-933d-402a-8bae-15aad5242625,owl:equivalentClass,https://data.crow.nl/imbor/def/668ebe59-1e36-4b84-a83c-c72a7a6633c6,,,
Rijbaan,https://data.crow.nl/bor-meld/def/b8efd93f-472f-491b-9d0b-c4c09ab5341a,owl:equivalentClass,https://data.crow.nl/imbor/def/48f6fa03-08be-4db7-bc2f-a0d6e3b68f14,,,
Rioolgemaal,https://data.crow.nl/bor-meld/def/3b7ba260-5531-4276-aef0-e568312d5553,owl:equivalentClass,http://data.gwsw.nl/1.6/totaal/Rioolgemaal,,,
Rioolput,https://data.crow.nl/bor-meld/def/f1f76aa1-4e0b-45e5-8446-d80ea526e4f6,owl:equivalentClass,http://data.gwsw.nl/1.6/totaal/Rioolput,,,
Slagboominstallatie,https://data.crow.nl/bor-meld/def/c8fdaa32-2089-41a6-8799-d669c8fd9c62,owl:equivalentClass,https://data.crow.nl/imbor/def/d62f423b-292c-4b1d-bd02-ecb74f11d4fd,,,
Speeltoestel,https://data.crow.nl/bor-meld/def/5ebe45aa-830b-4b43-923d-f8149771ab34,owl:equivalentClass,https://data.crow.nl/imbor/def/4efb3a19-e491-469f-aa96-debed9c1be4d,,,
Sporttoestel,https://data.crow.nl/bor-meld/def/6faaecb9-1751-4f6f-8407-13f1b235d052,owl:equivalentClass,https://data.crow.nl/imbor/def/e7f7062b-5233-4534-a184-bf672e92b699,,,
Steiger,https://data.crow.nl/bor-meld/def/bc8102f4-3301-4def-ae86-1197f04f7afd,owl:equivalentClass,https://data.crow.nl/imbor/def/4da9735b-97fe-488e-892e-d0729a29afec,,,
Straatnaambord,https://data.crow.nl/bor-meld/def/144d5066-6ea3-4c60-a1ba-80e0c9fb450f,owl:equivalentClass,https://data.crow.nl/imbor/def/432fdebc-a500-47ca-b981-f53cb8e07084,,,
Straatpot,https://data.crow.nl/bor-meld/def/93dd2122-9d31-4f52-b96a-94437cc9e980,owl:equivalentClass,http://data.gwsw.nl/1.6/totaal/Straatpot,,,
Struiken,https://data.crow.nl/bor-meld/def/45863d9c-f852-463d-af81-48a821ffb332,owl:equivalentClass,https://data.crow.nl/imbor/def/10d3883e-b5e4-4a1a-b0b4-471de5e55133,,,
Tafel,https://data.crow.nl/bor-meld/def/b3e68046-fd17-4992-aee8-907aca5a7a66,owl:equivalentClass,https://data.crow.nl/imbor/def/443ac52a-c9fc-4bf3-8546-bb8e160da9a2,,,
Trap,https://data.crow.nl/bor-meld/def/6901c1ea-7d3d-40bd-b9b1-61896d3c80d3,owl:equivalentClass,https://data.crow.nl/imbor/def/67c67760-c630-483e-b19b-0cacd881d226,,,
Tunnel,https://data.crow.nl/bor-meld/def/ede2218f-6215-4c1b-9cc2-fd06ca0ebd6f,owl:equivalentClass,https://data.crow.nl/imbor/def/e4c1e5e3-5895-40d9-96ea-3cb840057592,,,
Verkeersbord,https://data.crow.nl/bor-meld/def/b5b64c58-8300-4064-8940-b7f3838e6046,owl:equivalentClass,https://data.crow.nl/imbor/def/26dc09f6-c4aa-4b7e-8d0f-1a8fd4fec85d,,,
Verkeersdrempel,https://data.crow.nl/bor-meld/def/c4c53412-2483-403b-a0a4-11f6c2e84be5,owl:equivalentClass,https://data.crow.nl/imbor/def/d20f86ee-c4b5-497d-bed0-34b7509121e5,,,
Verkeerslantaarn,https://data.crow.nl/bor-meld/def/b192533b-b464-4684-9cff-c35943d4273a,owl:equivalentClass,https://data.crow.nl/imbor/def/9b35059a-e315-4231-bb4a-9e139e1f143a,,,
Verkeerslicht,https://data.crow.nl/bor-meld/def/f443c624-e34e-4a1f-8c7e-5b91ceb04c0c,owl:equivalentClass,https://data.crow.nl/imbor/def/1ec08d0a-a4c9-4589-969c-40d5dee3e464,,,
Verkeerslichtmast,https://data.crow.nl/bor-meld/def/3506a479-b0d2-414c-8a3d-4dad6a3c53d3,owl:equivalentClass,https://data.crow.nl/imbor/def/d8c909d7-a9e2-4f42-9821-99b13abcece4,,,
Verkeersspiegel,https://data.crow.nl/bor-meld/def/5f84aadc-7bba-413b-9578-e777d8180585,owl:equivalentClass,https://data.crow.nl/imbor/def/09b678a0-265e-44ee-a6db-8ece66ff7490,,,
Voedingskabel,https://data.crow.nl/bor-meld/def/07bcbf7c-23d7-479e-bb51-a073b569f1ef,owl:equivalentClass,https://data.crow.nl/imbor/def/71cd52ae-6864-40e2-9f50-97daa00f74d9,,,
Voegovergang,https://data.crow.nl/bor-meld/def/be863d96-ac6d-4a44-bdfa-d6ccb842b85d,owl:equivalentClass,https://data.crow.nl/imbor/def/ac8e3b01-901f-4053-9957-f16b9ca7a28b,,,
Voetpad,https://data.crow.nl/bor-meld/def/2a16e3ac-ca16-4887-960c-be48843032c9,owl:equivalentClass,https://data.crow.nl/imbor/def/7ffcb522-277d-4a2a-aa2a-fbcc2a68f0a1,,,
Vrijverval rioolleiding,https://data.crow.nl/bor-meld/def/56a0c591-9cea-4358-99f7-241b668ed336,owl:equivalentClass,http://data.gwsw.nl/1.6/totaal/VrijvervalRioolleiding,,,
Watergang,https://data.crow.nl/bor-meld/def/df799b96-326b-4440-b178-3d75eee7c3ae,owl:equivalentClass,https://data.crow.nl/imbor/def/aaad83eb-d568-4cf3-8f76-a26e51cc0714,,,
Wegmarkering,https://data.crow.nl/bor-meld/def/c3c5ab2c-226f-42b1-94f6-5558bb955565,owl:equivalentClass,https://data.crow.nl/imbor/def/f70b7735-d56a-414b-92ab-a83f4a767757,,,
Zitelement,https://data.crow.nl/bor-meld/def/3b75365a-3d9f-42db-b6ec-a05f2c5b6f8f,owl:equivalentClass,https://data.crow.nl/imbor/def/83f95133-4d59-4b1f-b5dd-6055da2c007f,,,
