id	ObjecttypeVanID	AttribuutVan1ID	DomeinwaardeVan1ID	AttribuutVan2ID	DomeinwaardeVan2ID	AttribuutVan3ID	DomeinwaardeVan3ID	AttribuutVan4ID	DomeinwaardeVan4ID	InformatiemodelNaarID	ObjecttypeNaarID	AttribuutNaar1ID	DomeinwaardeNaar1ID	AttribuutNaar2ID	DomeinwaardeNaar2ID	AttribuutNaar3ID	DomeinwaardeNaar3ID	Toelichting
1777	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_402	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4117							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	groenvoorziening	plus-fysiekVoorkomen	groenvoorziening: gras- en kruidachtigen 			
1778	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4127	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_257	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4536					IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	bouwland	plus-fysiekVoorkomen	bouwland: akkerbouw			
1779	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_402	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_3820							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	groenvoorziening	plus-fysiekVoorkomen	groenvoorziening: planten			
1780	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4127	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_257	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4538					IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	bouwland	plus-fysiekVoorkomen	bouwland: braakliggend			
1781	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_402	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4118							IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	groenvoorziening	plus-fysiekVoorkomen	groenvoorziening: bodembedekkers			
1782	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4128	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_257	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4546					IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	duin	plus-fysiekVoorkomen	duin: gesloten duinvegetatie			
1783	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4128	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_257	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4547					IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	duin	plus-fysiekVoorkomen	duin: open duinvegetatie			
1784	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4129	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_257	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4540					IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	fruitteelt	plus-fysiekVoorkomen	fruitteelt: hoogstam boomgaarden			
1785	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4129	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_257	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4541					IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	fruitteelt	plus-fysiekVoorkomen	fruitteelt: klein fruit			
1786	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_433	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4129	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_257	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_4543					IMGeo	BegroeidTerreindeel	bgt-fysiekVoorkomen	fruitteelt	plus-fysiekVoorkomen	fruitteelt: wijngaarden			
